time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2021-11-24 13:16:36.768633,"11 days, 20:36:19.610000",ON,MAXN,4,10,35,15,0,1641948,1641948,1641948,958,25,OFF,OFF,OFF,31.372549019607842,47.5,44.0,42.0,40.0,43.0,2996,2463
2021-11-24 13:16:36.769706,"11 days, 20:36:19.620000",ON,MAXN,4,10,35,15,0,1641948,1641948,1641948,958,25,OFF,OFF,OFF,31.372549019607842,47.5,44.0,42.0,40.0,43.0,2996,2463
2021-11-24 13:16:37.165028,"11 days, 20:36:20.010000",ON,MAXN,14,15,24,10,0,1678432,1678432,1678432,958,25,OFF,OFF,OFF,31.372549019607842,47.5,44.0,42.0,40.0,43.25,2917,2464
2021-11-24 13:16:37.671986,"11 days, 20:36:20.520000",ON,MAXN,28,51,79,50,0,1791756,1791756,1791756,958,25,OFF,OFF,OFF,31.372549019607842,48.0,45.5,42.0,40.5,43.25,3936,2469
2021-11-24 13:16:38.178962,"11 days, 20:36:21.020000",ON,MAXN,30,30,100,25,0,1824332,1824332,1824332,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.0,42.0,40.5,43.0,3390,2472
2021-11-24 13:16:38.684411,"11 days, 20:36:21.530000",ON,MAXN,24,21,54,17,0,1698260,1698260,1698260,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.0,41.5,40.5,43.0,2882,2474
2021-11-24 13:16:39.191900,"11 days, 20:36:22.040000",ON,MAXN,10,14,24,26,1,1723084,1723084,1723084,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.0,42.0,40.0,43.0,3080,2476
2021-11-24 13:16:39.701747,"11 days, 20:36:22.550000",ON,MAXN,14,21,46,14,0,1778184,1778184,1778184,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.5,42.0,40.0,43.0,3581,2479
2021-11-24 13:16:40.209405,"11 days, 20:36:23.050000",ON,MAXN,14,8,45,9,0,1826984,1826984,1826984,958,25,OFF,OFF,OFF,31.372549019607842,47.5,43.5,42.0,40.0,43.0,3193,2482
2021-11-24 13:16:40.715840,"11 days, 20:36:23.560000",ON,MAXN,24,22,72,16,0,1890196,1890196,1890196,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.0,42.0,40.0,43.5,3272,2484
2021-11-24 13:16:41.220247,"11 days, 20:36:24.060000",ON,MAXN,22,20,42,24,1,1948480,1948480,1948480,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.0,42.0,40.5,43.5,3272,2487
2021-11-24 13:16:41.727404,"11 days, 20:36:24.570000",ON,MAXN,7,6,78,13,0,2006784,2006784,2006784,958,25,OFF,OFF,OFF,31.372549019607842,48.0,44.0,42.0,40.0,42.75,3351,2490
2021-11-24 13:16:42.233540,"11 days, 20:36:25.080000",ON,MAXN,14,16,37,11,1,2040124,2040124,2040124,958,25,OFF,OFF,OFF,31.372549019607842,47.5,44.0,42.0,40.0,42.75,2961,2491
2021-11-24 13:16:42.745389,"11 days, 20:36:25.590000",ON,MAXN,30,26,47,31,0,2112772,2112772,2112772,958,25,OFF,OFF,OFF,31.372549019607842,47.5,44.0,42.0,40.0,43.25,3114,2493
