time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2021-11-03 15:21:13.713461,"12 days, 8:13:18.070000",OFF,MAXN,9,11,4,7,0,557336,557336,557336,334,25,OFF,OFF,OFF,0.0,38.0,33.0,32.0,30.0,32.5,1067,1671
2021-11-03 15:21:13.714434,"12 days, 8:13:18.070000",OFF,MAXN,9,11,4,7,0,557336,557336,557336,334,25,OFF,OFF,OFF,0.0,38.0,33.0,32.0,30.0,32.5,1067,1671
2021-11-03 15:21:14.597315,"12 days, 8:13:18.960000",OFF,MAXN,51,24,22,24,0,876144,876144,876144,329,25,OFF,OFF,OFF,0.0,37.5,33.5,31.5,30.5,32.75,3469,3469
2021-11-03 15:21:15.088948,"12 days, 8:13:19.450000",OFF,MAXN,100,13,8,6,0,913524,913524,913524,329,25,OFF,OFF,OFF,0.0,38.0,34.0,31.5,30.0,32.75,2491,2980
2021-11-03 15:21:15.596201,"12 days, 8:13:19.960000",OFF,MAXN,100,8,8,13,0,745208,745208,745208,329,25,OFF,OFF,OFF,0.0,38.0,34.0,31.5,30.0,33.0,2808,2922
2021-11-03 15:21:16.104812,"12 days, 8:13:20.470000",OFF,MAXN,36,16,24,17,0,796704,796704,796704,329,25,OFF,OFF,OFF,0.0,37.5,34.0,32.0,30.0,33.0,2966,2933
2021-11-03 15:21:16.615298,"12 days, 8:13:20.980000",OFF,MAXN,8,56,13,10,0,821520,821520,821520,329,25,OFF,OFF,OFF,0.0,38.0,33.0,31.5,30.0,32.75,2373,2821
2021-11-03 15:21:17.120860,"12 days, 8:13:21.480000",OFF,MAXN,16,21,34,14,0,854576,854576,854576,329,25,OFF,OFF,OFF,0.0,38.0,33.5,31.5,30.0,32.75,2649,2792
2021-11-03 15:21:17.625319,"12 days, 8:13:21.990000",OFF,MAXN,19,33,30,18,0,883744,883744,883744,329,25,OFF,OFF,OFF,0.0,37.5,33.5,31.5,29.5,33.0,2689,2777
2021-11-03 15:21:18.138057,"12 days, 8:13:22.500000",OFF,MAXN,14,52,29,19,7,942564,942564,942564,329,25,OFF,OFF,OFF,0.0,38.0,34.0,31.5,30.5,33.0,3356,2850
2021-11-03 15:21:18.641403,"12 days, 8:13:23",OFF,MAXN,14,30,39,8,47,986892,986892,986892,329,25,OFF,OFF,OFF,0.0,38.0,34.5,31.5,30.0,32.5,2689,2832
2021-11-03 15:21:19.147421,"12 days, 8:13:23.510000",OFF,MAXN,18,41,26,26,0,1030868,1030868,1030868,329,25,OFF,OFF,OFF,0.0,37.5,34.5,31.5,30.0,32.5,2531,2802
2021-11-03 15:21:19.656528,"12 days, 8:13:24.020000",OFF,MAXN,13,73,19,16,0,1100236,1100236,1100236,329,25,OFF,OFF,OFF,0.0,38.0,33.5,31.5,30.0,32.5,2689,2791
2021-11-03 15:21:20.162946,"12 days, 8:13:24.520000",OFF,MAXN,11,25,30,9,1,1130836,1130836,1130836,329,25,OFF,OFF,OFF,0.0,37.5,33.5,31.5,30.0,32.5,2961,2805
2021-11-03 15:21:20.669023,"12 days, 8:13:25.030000",OFF,MAXN,19,37,30,14,13,1168792,1168792,1168792,329,25,OFF,OFF,OFF,0.0,38.0,33.5,31.5,30.0,32.5,2689,2796
2021-11-03 15:21:21.182202,"12 days, 8:13:25.540000",OFF,MAXN,16,64,20,27,14,1229064,1229064,1229064,329,25,OFF,OFF,OFF,0.0,38.0,34.5,31.5,30.0,33.25,2926,2806
2021-11-03 15:21:21.690273,"12 days, 8:13:26.050000",OFF,MAXN,16,39,38,16,17,1294796,1294796,1294796,329,25,OFF,OFF,OFF,0.0,38.0,34.5,32.0,30.5,33.25,3429,2847
2021-11-03 15:21:22.195999,"12 days, 8:13:26.560000",OFF,MAXN,2,11,15,24,0,1324036,1324036,1324036,329,25,OFF,OFF,OFF,0.0,37.5,33.5,31.5,30.0,32.5,2527,2827
2021-11-03 15:21:22.704011,"12 days, 8:13:27.060000",OFF,MAXN,16,32,32,26,16,1357928,1357928,1357928,329,25,OFF,OFF,OFF,0.0,38.0,33.5,31.0,30.0,32.5,2531,2810
2021-11-03 15:21:23.209376,"12 days, 8:13:27.570000",OFF,MAXN,12,26,38,24,0,1415260,1415260,1415260,329,25,OFF,OFF,OFF,0.0,38.0,33.5,31.5,30.0,32.75,2689,2803
2021-11-03 15:21:23.715975,"12 days, 8:13:28.080000",OFF,MAXN,14,40,39,14,0,1461208,1461208,1461208,329,25,OFF,OFF,OFF,0.0,38.0,34.5,31.5,30.5,32.75,3198,2824
2021-11-03 15:21:24.223953,"12 days, 8:13:28.580000",OFF,MAXN,15,78,12,12,0,1527596,1527596,1527596,329,25,OFF,OFF,OFF,0.0,38.0,34.0,31.5,30.0,33.0,2649,2815
2021-11-03 15:21:24.731882,"12 days, 8:13:29.090000",OFF,MAXN,25,22,32,72,0,1580624,1580624,1580624,329,25,OFF,OFF,OFF,0.0,38.0,34.0,32.0,30.0,33.0,2729,2811
2021-11-03 15:21:25.245968,"12 days, 8:13:29.610000",OFF,MAXN,73,11,14,15,0,1942556,1942556,1942556,329,25,OFF,OFF,OFF,0.0,38.0,34.0,31.5,30.0,33.0,2570,2800
2021-11-03 15:21:25.753380,"12 days, 8:13:30.110000",OFF,MAXN,40,44,53,43,14,1922028,1922028,1922028,329,25,OFF,OFF,OFF,0.0,38.5,35.5,32.0,31.5,32.75,4864,2890
2021-11-03 15:21:26.266288,"12 days, 8:13:30.630000",OFF,MAXN,21,98,44,18,17,2012220,2012220,2012220,329,25,OFF,OFF,OFF,0.0,38.5,34.5,32.0,30.5,32.75,3435,2912
2021-11-03 15:21:26.766688,"12 days, 8:13:31.130000",OFF,MAXN,18,86,29,18,0,2136672,2136672,2136672,329,25,OFF,OFF,OFF,0.0,38.0,33.5,32.0,30.5,33.5,2882,2911
2021-11-03 15:21:27.275294,"12 days, 8:13:31.640000",OFF,MAXN,13,68,49,14,0,2239908,2239908,2239908,329,25,OFF,OFF,OFF,0.0,38.5,35.5,31.5,31.0,33.5,3469,2933
2021-11-03 15:21:27.783262,"12 days, 8:13:32.140000",OFF,MAXN,14,98,8,9,8,2335024,2335024,2335024,329,25,OFF,OFF,OFF,0.0,38.5,35.0,31.5,30.0,33.25,2961,2934
2021-11-03 15:21:28.294200,"12 days, 8:13:32.650000",OFF,MAXN,24,97,22,21,27,2404820,2404820,2404820,329,25,OFF,OFF,OFF,0.0,38.5,35.0,32.0,31.0,33.25,2926,2933
2021-11-03 15:21:28.798366,"12 days, 8:13:33.160000",OFF,MAXN,27,63,57,32,30,2504576,2504576,2504576,329,25,OFF,OFF,OFF,0.0,38.5,34.0,32.0,30.5,33.0,3395,2949
2021-11-03 15:21:29.315903,"12 days, 8:13:33.680000",OFF,MAXN,17,19,96,28,9,2623408,2623408,2623408,329,25,OFF,OFF,OFF,0.0,38.0,34.0,32.0,30.5,33.0,3469,2966
2021-11-03 15:21:29.839366,"12 days, 8:13:34.200000",OFF,MAXN,14,50,59,52,12,2721528,2721528,2721528,337,25,OFF,OFF,OFF,0.0,38.0,35.0,32.0,30.5,33.75,3119,2971
2021-11-03 15:21:30.323666,"12 days, 8:13:34.680000",OFF,MAXN,20,78,35,45,7,2813884,2813884,2813884,339,25,OFF,OFF,OFF,0.0,38.0,35.0,32.0,31.0,33.75,2961,2971
2021-11-03 15:21:30.842063,"12 days, 8:13:35.200000",OFF,MAXN,42,66,65,30,0,2938424,2938424,2938424,347,25,OFF,OFF,OFF,0.0,38.0,35.0,32.0,31.5,33.75,4329,3012
2021-11-03 15:21:31.337922,"12 days, 8:13:35.700000",OFF,MAXN,58,58,13,10,22,2986244,2986244,2986244,347,25,OFF,OFF,OFF,0.0,38.5,36.0,32.0,31.0,33.75,3001,3012
2021-11-03 15:21:31.848202,"12 days, 8:13:36.210000",OFF,MAXN,26,32,84,44,16,3075020,3075020,3075020,354,25,OFF,OFF,OFF,0.0,38.5,34.5,32.5,31.5,33.75,3587,3028
2021-11-03 15:21:32.361167,"12 days, 8:13:36.720000",OFF,MAXN,36,50,60,86,9,3170716,3170716,3170716,377,25,OFF,OFF,OFF,0.0,38.5,34.0,32.5,31.5,33.25,3587,3044
2021-11-03 15:21:33.161340,"12 days, 8:13:37.520000",OFF,MAXN,26,47,32,100,4,3245404,3245404,3245404,413,25,OFF,OFF,OFF,0.0,38.5,34.0,32.5,31.0,33.25,3435,3054
2021-11-03 15:21:33.440406,"12 days, 8:13:37.800000",OFF,MAXN,21,10,26,65,1,3240100,3240100,3240100,432,25,OFF,OFF,OFF,0.0,38.5,34.0,32.0,30.5,33.0,3001,3053
2021-11-03 15:21:33.888315,"12 days, 8:13:38.250000",OFF,MAXN,29,17,33,31,0,3247168,3247168,3247168,438,25,OFF,OFF,OFF,0.0,38.5,34.0,32.0,31.0,33.0,3119,3055
2021-11-03 15:21:34.407772,"12 days, 8:13:38.770000",OFF,MAXN,20,14,26,28,6,3279848,3279848,3279848,439,25,OFF,OFF,OFF,0.0,38.5,34.0,32.5,31.0,33.25,3435,3064
2021-11-03 15:21:34.890422,"12 days, 8:13:39.250000",OFF,MAXN,8,20,34,10,0,3299512,3299512,3299512,440,25,OFF,OFF,OFF,0.0,38.5,34.0,32.0,31.0,33.25,2649,3054
2021-11-03 15:21:35.393790,"12 days, 8:13:39.750000",OFF,MAXN,54,35,19,16,0,3339244,3339244,3339244,448,25,OFF,OFF,OFF,0.0,38.5,34.0,32.5,30.5,33.25,2808,3048
2021-11-03 15:21:35.899138,"12 days, 8:13:40.260000",OFF,MAXN,48,31,39,32,2,3373396,3373396,3373396,454,25,OFF,OFF,OFF,0.0,38.5,35.0,32.5,31.0,33.25,3474,3058
2021-11-03 15:21:36.469253,"12 days, 8:13:40.830000",OFF,MAXN,50,27,18,34,0,3444452,3444452,3444452,460,25,OFF,OFF,OFF,0.0,38.5,35.0,32.0,31.0,33.25,4014,3080
2021-11-03 15:21:36.959966,"12 days, 8:13:41.320000",OFF,MAXN,28,34,26,38,1,3444048,3444048,3444048,470,25,OFF,OFF,OFF,0.0,38.5,34.0,32.0,30.5,33.75,2764,3073
2021-11-03 15:21:37.511875,"12 days, 8:13:41.870000",OFF,MAXN,43,19,40,19,35,3483796,3483796,3483796,472,25,OFF,OFF,OFF,0.0,38.5,35.0,32.5,31.0,33.75,3429,3080
2021-11-03 15:21:38.063600,"12 days, 8:13:42.440000",OFF,MAXN,32,10,28,32,32,3515032,3515032,3515032,480,25,OFF,OFF,OFF,0.0,38.5,34.0,32.5,30.5,33.5,3085,3080
2021-11-03 15:21:38.489255,"12 days, 8:13:42.850000",OFF,MAXN,20,18,27,15,0,3514104,3514104,3514104,480,25,OFF,OFF,OFF,0.0,38.5,33.5,32.0,30.5,33.5,2606,3071
2021-11-03 15:21:39.001549,"12 days, 8:13:43.360000",OFF,MAXN,23,16,17,20,99,3512644,3512644,3512644,480,25,OFF,OFF,OFF,0.0,38.5,34.0,32.5,30.5,33.25,2333,3056
2021-11-03 15:21:39.512484,"12 days, 8:13:43.870000",OFF,MAXN,17,25,14,20,81,3510960,3510960,3510960,480,25,OFF,OFF,OFF,0.0,38.5,34.0,34.0,31.0,33.25,6736,3129
2021-11-03 15:21:40.018540,"12 days, 8:13:44.380000",OFF,MAXN,28,24,10,8,99,3512508,3512508,3512508,480,25,OFF,OFF,OFF,0.0,38.5,35.0,34.0,31.5,34.0,7324,3211
2021-11-03 15:21:40.534112,"12 days, 8:13:44.890000",OFF,MAXN,8,23,5,5,99,3511828,3511828,3511828,480,25,OFF,OFF,OFF,0.0,39.0,34.5,34.0,31.0,34.0,6647,3277
2021-11-03 15:21:41.049087,"12 days, 8:13:45.410000",OFF,MAXN,15,18,18,16,99,3511488,3511488,3511488,480,25,OFF,OFF,OFF,0.0,39.0,34.5,34.5,31.5,34.5,6736,3343
2021-11-03 15:21:41.553298,"12 days, 8:13:45.910000",OFF,MAXN,20,23,24,19,87,3514916,3514916,3514916,480,25,OFF,OFF,OFF,0.0,39.0,35.0,34.5,31.5,34.5,6533,3402
2021-11-03 15:21:42.058713,"12 days, 8:13:46.420000",OFF,MAXN,11,23,12,10,99,3516128,3516128,3516128,480,25,OFF,OFF,OFF,0.0,39.0,35.0,34.5,32.0,34.75,7390,3474
2021-11-03 15:21:42.571960,"12 days, 8:13:46.930000",OFF,MAXN,10,18,15,9,70,3515024,3515024,3515024,480,25,OFF,OFF,OFF,0.0,39.5,34.5,34.5,31.5,34.75,6287,3524
2021-11-03 15:21:43.077997,"12 days, 8:13:47.440000",OFF,MAXN,46,16,26,28,99,3517004,3517004,3517004,479,25,OFF,OFF,OFF,0.0,39.5,35.5,34.5,32.0,34.75,7222,3589
2021-11-03 15:21:43.583685,"12 days, 8:13:47.940000",OFF,MAXN,10,25,16,16,99,3517816,3517816,3517816,479,25,OFF,OFF,OFF,0.0,39.5,35.0,35.0,32.0,35.0,7246,3652
2021-11-03 15:21:44.091358,"12 days, 8:13:48.450000",OFF,MAXN,3,6,5,7,99,3518288,3518288,3518288,479,25,OFF,OFF,OFF,0.0,39.5,35.0,35.0,32.0,35.0,7183,3712
2021-11-03 15:21:44.597006,"12 days, 8:13:48.960000",OFF,MAXN,28,21,16,20,99,3517256,3517256,3517256,477,25,OFF,OFF,OFF,0.0,39.0,35.5,35.0,32.0,35.0,7273,3772
