time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2021-11-25 07:37:53.882049,"12 days, 14:57:36.730000",ON,MAXN,34,43,28,35,0,1713080,1713080,1713080,1080,25,OFF,OFF,OFF,31.372549019607842,55.0,50.5,48.5,47.5,49.75,3778,3778
2021-11-25 07:37:53.883449,"12 days, 14:57:36.730000",ON,MAXN,34,43,28,35,0,1713080,1713080,1713080,1080,25,OFF,OFF,OFF,31.372549019607842,55.0,50.5,48.5,47.5,49.75,3778,3778
2021-11-25 07:37:54.139667,"12 days, 14:57:36.980000",ON,MAXN,69,60,83,69,0,1839680,1839680,1839680,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.5,49.75,4511,4144
2021-11-25 07:37:54.648900,"12 days, 14:57:37.490000",ON,MAXN,75,64,100,82,0,1874036,1874036,1874036,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.5,49.75,4237,4175
2021-11-25 07:37:55.153467,"12 days, 14:57:38",ON,MAXN,51,55,80,70,3,1721420,1721420,1721420,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.0,48.5,47.5,50.25,4008,4133
2021-11-25 07:37:55.658264,"12 days, 14:57:38.500000",ON,MAXN,42,38,51,54,0,1752976,1752976,1752976,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.5,50.25,4165,4139
2021-11-25 07:37:56.173536,"12 days, 14:57:39.020000",ON,MAXN,40,34,48,45,0,1779668,1779668,1779668,1079,25,OFF,OFF,OFF,31.372549019607842,55.0,51.0,49.0,48.0,50.0,4040,4123
2021-11-25 07:37:56.679608,"12 days, 14:57:39.520000",ON,MAXN,50,42,45,46,0,1810892,1810892,1810892,1079,25,OFF,OFF,OFF,31.372549019607842,55.0,51.0,49.0,47.5,50.0,3851,4084
2021-11-25 07:37:57.179890,"12 days, 14:57:40.020000",ON,MAXN,56,51,59,58,3,1874360,1874360,1874360,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.0,49.0,48.0,50.0,4008,4074
2021-11-25 07:37:57.697738,"12 days, 14:57:40.540000",ON,MAXN,44,47,59,66,0,1936468,1936468,1936468,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.5,50.0,4354,4105
2021-11-25 07:37:58.194584,"12 days, 14:57:41.040000",ON,MAXN,77,52,47,54,0,1978264,1978264,1978264,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.0,49.0,48.0,50.0,3660,4061
2021-11-25 07:37:58.705260,"12 days, 14:57:41.550000",ON,MAXN,72,54,40,50,1,2050772,2050772,2050772,1079,25,OFF,OFF,OFF,31.372549019607842,55.0,51.0,49.0,47.5,50.0,3851,4042
2021-11-25 07:37:59.208334,"12 days, 14:57:42.050000",ON,MAXN,57,48,54,46,0,2091400,2091400,2091400,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.5,50.25,4204,4055
2021-11-25 07:37:59.732572,"12 days, 14:57:42.580000",ON,MAXN,44,58,48,48,0,2154836,2154836,2154836,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.0,49.0,47.5,50.25,4047,4054
2021-11-25 07:38:00.236184,"12 days, 14:57:43.080000",ON,MAXN,52,51,52,54,0,2214124,2214124,2214124,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.0,50.25,3890,4043
2021-11-25 07:38:00.733981,"12 days, 14:57:43.580000",ON,MAXN,56,50,58,60,0,2269836,2269836,2269836,1079,25,OFF,OFF,OFF,31.372549019607842,55.0,51.0,49.0,47.5,50.0,3857,4030
2021-11-25 07:38:01.240710,"12 days, 14:57:44.080000",ON,MAXN,54,36,48,54,4,2305220,2305220,2305220,1079,25,OFF,OFF,OFF,31.372549019607842,55.0,51.0,49.0,48.0,50.0,4276,4046
2021-11-25 07:38:01.752047,"12 days, 14:57:44.600000",ON,MAXN,56,70,38,32,0,2360348,2360348,2360348,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.5,49.0,47.5,50.0,3968,4041
2021-11-25 07:38:02.262888,"12 days, 14:57:45.110000",ON,MAXN,68,52,60,54,0,2438664,2438664,2438664,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.0,49.0,47.5,50.0,3929,4035
2021-11-25 07:38:02.770281,"12 days, 14:57:45.610000",ON,MAXN,76,55,55,56,0,2484368,2484368,2484368,1079,25,OFF,OFF,OFF,31.372549019607842,55.0,51.0,48.5,47.5,50.25,3739,4019
2021-11-25 07:38:03.278816,"12 days, 14:57:46.120000",ON,MAXN,37,75,56,52,0,2863096,2863096,2863096,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,52.0,49.0,47.5,50.25,4197,4028
2021-11-25 07:38:03.778409,"12 days, 14:57:46.620000",ON,MAXN,44,51,49,48,0,2865712,2865712,2865712,1079,25,OFF,OFF,OFF,31.372549019607842,55.5,51.0,49.0,47.5,50.0,3772,4016
